artist_id,artist_name,location,total_plays,top_song_name,top_song_plays,last_updated
AR1DGSO1187FB59B15,Eddie Turner,,1,Rise,1,2025-11-24 16:02:50
AR1DLF21187FB3CBF0,4Him,,5,Freedom,2,2025-11-24 16:54:58
AR1DR0E1187FB48F61,Kathy Mattea,"Cross Lane, WV",2,Standing Knee Deep In a River (Dying Of Thirst),2,2025-11-24 16:02:50
AR1GNFR1187B9AD1FD,The Exies,"Los Angeles, CA",2,Creeper Kamikaze,2,2025-11-24 16:46:14
AR1GW0U1187B9B29FD,Prince With 94 East,"Minneapolis, MN",1,Dance To The Music Of The World - Original Re-Mix (Practice Session),1,2025-11-24 16:02:50
AR1GYND1187B9A9CD3,Diesel Boy,"Santa Rosa, California",3,Cooler Than You,2,2025-11-24 16:54:58
AR1JD6E1187FB5696C,James Last,"Bremen, Germany",2,Stuff Like That,2,2025-11-24 16:46:14
AR1JGQT1187FB56878,Jo-El Sonnier,"Rayne, LA",2,Amazing Grace,1,2025-11-24 16:43:32
AR1KMPF1187B99AA98,Lara,,2,La Pieuvre,1,2025-11-24 16:43:32
AR1LQNB1187B9A6AE5,La Portuaria,,5,Alguna Vez,2,2025-11-24 16:54:58
AR1N6N61187FB4E25E,Mongo Santamaria,"Havana, Cuba [Jesus Maria]",8,Lady Marmalade,2,2025-11-24 16:54:58
AR1OBRC1187FB59AD4,Behemoth,POLAND,4,Cursed Angel Of Doom (Previously Unreleased&Re-Recorded Track),1,2025-11-24 16:54:58
AR1PCLK1187FB5BBFF,Angelo Badalamenti / Keira Knightley,New Jersey,3,Overture/Blue Tahitian Moon,1,2025-11-24 16:46:14
AR1PQYO1187B98BEC9,Hélio Ziskind,,4,Telê,1,2025-11-24 16:54:58
AR1PRQ21187FB3B481,Generation X,,4,Rock 'n' Roll,2,2025-11-24 16:54:58
AR1Q25M1187B9B0D73,Orquesta Romantica de La Habana,"Amityville, NY",3,Serenata,2,2025-11-24 16:54:58
AR1QXAQ1187FB47FAC,Sticky Fingaz & Omar Epps,"Brookyln, NY",2,Don't Owe Me Nothin',2,2025-11-24 16:46:14
AR1RHCO1187B9AF0BF,Vince Guaraldi,"San Francisco, CA",5,Peppermint Patty (LP Version),3,2025-11-24 16:54:58
AR1SFKQ1187B98AF13,Lauren Wood,California - LA,3,Time Zone (Album Version),3,2025-11-24 16:54:58
AR1SQSG1187B9AC782,Kent,"Eskilstuna, Sweden",6,Alla Mot Alla,2,2025-11-24 16:54:58
AR1VCLT1187FB4C8AC,Tum Tum,,3,Lil Stuntin,1,2025-11-24 16:54:58
AR1W3MA1187B99E6D8,Danny Wright,Texas,3,Believe,2,2025-11-24 16:54:58
AR1WC0X1187B991056,Jefferson Starship,"San Francisco, CA",2,Stairway To Cleveland,1,2025-11-24 16:46:14
AR1X2H01187B98CCF2,Maurice Chevalier,"Menilmontant, France",2,Dialogue et final si j'avais su,1,2025-11-24 16:43:32
AR1Y37Q1187B9B66D2,Suicide,"New York, NY",2,Night Time,2,2025-11-24 16:46:14
AR1ZKBE1187FB53629,Kraftwerk,"D�orf, Germany",2,Computer Love (2009 Digital Remaster),2,2025-11-24 16:02:50
AR1ZNJO1187B993E46,Cadet,"Eugene, OR",1,Medley: Father_ I Adore You/More Precious Than Silver,1,2025-11-24 16:02:50
AR1ZYLH1187B98C159,Naughty By Nature,"East Orange, NJ",4,Ring The Alarm,1,2025-11-24 16:54:58
AR202MX1187B9B0383,Tanto Metro & Devonte,,6,Strange Things,2,2025-11-24 16:54:58
AR20BO61187B9B880E,Patton Oswalt,"Portsmouth, VA",2,A Brief History of Shitty Comedy,2,2025-11-24 16:46:14
AR20CFC1187B98A25D,Ray Charles,Washington,1,Heartbreaker,1,2025-11-24 16:02:50
AR21JV01187B999138,Bill Murk,,2,What a Friend We Have in Jesus,1,2025-11-24 16:46:14
AR21YNH1187FB49649,Ms. Dynamite / Kymani Marley,London,4,Put Him Out,2,2025-11-24 16:46:14
AR223M11187B9ADDD6,Marty Robbins,"Glendale, AZ",2,A Castle In The Sky,1,2025-11-24 16:46:14
AR22KLC1187B98E812,Kaija Koo,,2,Viimeiset hitaat,2,2025-11-24 16:46:14
AR23F7J1187B9A550F,Al Dexter,"Jacksonville, TX",1,I'll Wait for You Dear,1,2025-11-24 16:02:50
AR243ZT1187B9A98D2,Otis Spann,"Jackson, MS",4,Evil Ways,2,2025-11-24 16:46:14
AR25WM21187FB461B3,Francis Lai,,3,La valse du mariage,1,2025-11-24 16:54:58
AR280881187B98BA28,YGGDRASIL,"Lund, Sweden",2,Nordmark,2,2025-11-24 16:43:32
AR2C9UQ1187B98E69F,Roy Roberts,"Livingston, TN",2,Let's Wrap Up,2,2025-11-24 16:46:14
AR2CM6U1187B999EB7,Basic Channel,"Berlin, Germany",2,Q1.1 Edit,2,2025-11-24 16:43:32
AR2D0XK1187B98EC4A,Johnny Pearson,,2,Lets Go Amigos - Tail,1,2025-11-24 16:46:14
AR2FAMK1187FB4CF60,AFI,"Ukiah, CA",3,Too Shy To Scream,1,2025-11-24 16:54:58
AR2FJV21187B98EBE3,Legacy Five,Tennessee,2,The Blood Covers It All (Live),1,2025-11-24 16:46:14
AR2FSX31187B98E3EF,Ricky Martin,"San Juan, Puerto Rico",3,Fuego De Noche_ Nieve De Día,3,2025-11-24 16:54:58
AR2G8UI1187FB3F33C,Barbara Fairchild,"Knobel, AK",3,I'll Meet You In The Morning,1,2025-11-24 16:46:14
AR2J2WF1187FB46271,Francis Dunnery,"Egremont, Cumbria, England",2,Too Much Saturn,1,2025-11-24 16:43:32
AR2MEUK1187B992D1B,Jeff Scott Soto,,4,2 Late 4 Goodbyes,2,2025-11-24 16:54:58
AR2O20V1187B989AF6,Black Tambourine,,2,Dream Baby Dream,2,2025-11-24 16:46:14
AR2O3B51187B98CD94,Cece Winans,"Charlotte, NC",4,The Wind (Tears For You),2,2025-11-24 16:54:58
AR2OPWW1187B9A5057,Schoolyard Heroes,"Seattle, WA",3,I Want Your Soul For Christmas,1,2025-11-24 16:54:58
AR2P71H1187B9B8C00,Kool Savas,DE,3,Warum rappst du?,2,2025-11-24 16:43:32
AR2PNSZ1187B9AF0A4,Pardesi,,4,Dama Dam Mast Kalander,2,2025-11-24 16:54:58
AR2PT4M1187FB55B1A,Los Chichos,,1,No Quieras Marcharte,1,2025-11-24 16:02:50
AR2S4CA1187B99632E,FFH,,2,Here I Am,1,2025-11-24 16:46:14
AR2S6UD1187B9B944F,León Gieco,,4,Buenos Aires (De Tus Amores),2,2025-11-24 16:54:58
AR2SMD91187B9B0582,The Mighty Mighty Bosstones,"Boston, MA",3,Pictures To Prove It,1,2025-11-24 16:46:14
AR2VROU1187FB532D7,The Token,"Brooklyn, NY",4,Come Dance With Me,2,2025-11-24 16:54:58
AR2XI6G1187B9AE7DA,Fat Joe,"Bronx, NY",3,Hard Not 2 Kill (Explicit),2,2025-11-24 16:46:14
AR2XRFQ1187FB417FE,Julie Zenatti,,4,Si Je M'En Sors,2,2025-11-24 16:54:58
AR2ZLBH1187FB592FE,iTAL tEK,,2,Tokyo Freeze,2,2025-11-24 16:46:14
AR323JD1187FB483D0,Solomon,New York,6,Piano Sonata No. 28 in A Op. 101 (1993 Digital Remaster): III.    Adagio_ ma non troppo,2,2025-11-24 16:54:58
AR32JLC1187B9946AF,X-Raided featuring Teddy Bear_ Big Pook_ T-Nutty,,3,Who's Tha Hoe?,1,2025-11-24 16:46:14
AR336PG1187FB3DC6E,Oceansize,"Manchester, England",1,New Pin (edit),1,2025-11-24 16:02:50
AR342K51187B98B571,Olivier Messiaen,,2,Livre D'orgue (1951) : VII Soixante-Quatre Durées (Remasterisé En 2008),1,2025-11-24 16:43:32
AR358YS1187FB44A29,The Jordanaires & Orion,"Springfield, MO",3,Your Love Takes Good Care Of Me,1,2025-11-24 16:54:58
AR35YUO1187B9AD83E,Wet Wet Wet,"Glasgow, Scotland",2,Love Is All Around,1,2025-11-24 16:43:32
AR3752L1187FB4B67E,The Real Kids,,5,Some Love Like Yours,2,2025-11-24 16:54:58
AR3793X1187FB50CB3,Chris Rea,"Middlesbrough, England",3,E,2,2025-11-24 16:54:58
AR37ILI1187B98E27B,Shriekback,"London, England",2,Reason With The Beast,1,2025-11-24 16:46:14
AR38I491187B9B2F2D,Lil Boosie & Webbie,,2,Better Believe It Remix (feat. Bun B_ Trae_ Yo Gotti & Foxx),2,2025-11-24 16:43:32
AR3DLBB1187B98F3DF,The Statler Brothers,"Staunton, VA",4,White Christmas,3,2025-11-24 16:54:58
AR3FE581187FB3F90A,Fabolous,"Brooklyn, NY",4,Ma' Be Easy [Explicit Version],2,2025-11-24 16:54:58
AR3FOK11187FB3F4EE,Seven Mary Three,,3,Hammer & a Stone,2,2025-11-24 16:46:14
AR3GYKU1187B996AB9,Jim Kweskin with Samoa Wilson,"Stamford, CT",3,Why Don't You Do Right (Album Version),1,2025-11-24 16:46:14
AR3JMC51187B9AE49D,Backstreet Boys,"Orlando, FL",3,Larger Than Life,1,2025-11-24 16:54:58
AR3KXHI1187FB3A8BF,Dora The Explorer,,5,ABC (The Alphabet Song),2,2025-11-24 16:54:58
AR3N2H11187B98AFBA,Sivuca,"Itabaiana, Para�, Brazil",5,Energia,2,2025-11-24 16:54:58
AR3O66A1187FB39519,Sinch,Pennsylvania,1,Plasma (Album Version),1,2025-11-24 16:02:50
AR3OYPP1187B9952E3,Humanzi,"Dublin, Ireland",2,Amsterdamaged,1,2025-11-24 16:02:50
AR3PDNJ1187B9AF3F0,Vixen,California - LA,2,American Dream,2,2025-11-24 16:43:32
AR3Q48J1187FB55278,The Rapture,,2,Killing,2,2025-11-24 16:46:14
AR3QRJ91187B98E4C2,Jacques Dutronc,"Paris, France",2,Laquelle Des Deux Est La Plus Snob,1,2025-11-24 16:46:14
AR3SPD91187B9B63E3,Héroes del Silencio,,3,Oración (Directo),2,2025-11-24 16:54:58
AR3UFKE1187B9B186E,Dame Edna Everage with Carl Davis conducting the London Symphony Orchestra and The New Antipodean Singers,,2,Song Of Australia - Canto 6 (2009 Digital Remaster),2,2025-11-24 16:46:14
AR3USQW1187FB4A90D,Bebo Norman,,1,Borrow Mine,1,2025-11-24 16:02:50
AR3VSHF1187B9B3002,Flame,St Louis MO,1,Freed From Desire (Alternate Mix),1,2025-11-24 16:02:50
AR3WMW01187B9921F7,Schizoid,,9,Grim Prospects (Gross Prospects - Bad Trip Remix),3,2025-11-24 16:54:58
AR3YBMD1187B99F15C,Frl.Menke,,2,Komm Computer,2,2025-11-24 16:02:50
AR41ESB1187FB360B1,Gloria,BG,2,All the Way,1,2025-11-24 16:46:14
AR449OQ1187B99B25E,Harvey Averne,,2,Why Can't We Really Be Free,2,2025-11-24 16:43:32
AR45KNL1187B992E53,Dr. Elmo,California - SF,2,Happy Halloween Anniversary,1,2025-11-24 16:43:32
AR46CAD1187FB4D84B,Bad Religion,"Los Angeles, Ca",4,Infected,1,2025-11-24 16:54:58
AR47RVG1187B995CE7,D:Fuse vs The Scumfrog,"Austin, TX",3,Stereo + Video,2,2025-11-24 16:54:58
AR4B1LP1187FB55C83,Juan Diego Flórez / Mariusz Kwiecen / Orquestra de la Comunitat Valenciana / Daniel Oren,,2,Allegro io son,2,2025-11-24 16:43:32
AR4B3RX1187B9A868A,Alexandre Desplat,,4,The Epi-Pen,2,2025-11-24 16:54:58
AR4BDNG1187FB44870,Robert Palmer,"Batley, England",2,Looking For Clues,2,2025-11-24 16:02:50
AR4C6V01187FB3BAF4,Moonspell,Portugal,5,The Hanged Man,3,2025-11-24 16:43:32
AR4CG3B1187FB5B861,The Avengers,California - SF,1,Juoksuhauta-twist (Elämä juoksuhaudoissa),1,2025-11-24 16:02:50
AR4CH531187FB4EA21,Abysmal Dawn,,2,Compulsory Resurrection,1,2025-11-24 16:46:14
AR4CL6I11C8A4158B4,IMISKOUBRIA featuring Etsi De,,2,Apoliome Re Giorgi (Feat. Etsi De),1,2025-11-24 16:02:50
AR4EQ231187B99368F,The Fray,"Denver, CO",4,She Is,2,2025-11-24 16:54:58
AR4FE4N1187B99395A,Corderoy & U4IC DJ'S,,1,Rock Guitar,1,2025-11-24 16:02:50
AR4G2AQ1187FB59D5B,Indica,Finland,1,Ihmisen Lento,1,2025-11-24 16:02:50
AR4GAFY1187B9B639D,B.B. King,"Memphis, Tennessee",4,She Don't Move Me No More,2,2025-11-24 16:54:58
AR4GP451187FB3F2BB,Andy Griffith,,4,Just A Closer Walk With Thee,2,2025-11-24 16:54:58
AR4JY8V1187B98A62F,Ann Hampton Callaway,,2,For All We Know,1,2025-11-24 16:46:14
AR4L4WQ1187FB51996,The Prodigy,"Braintree, Essex, England",4,Charly (Trip Into Drum And Bass Version) (Remastered),3,2025-11-24 16:54:58
AR4MCB01187B98BF5C,Atman,,4,All Is One,2,2025-11-24 16:43:32
AR4NREB1187B9AEDAC,Mink DeVille,"New York, NY",4,She's So Tough,2,2025-11-24 16:54:58
AR4OHL91187B9B2EB9,Angela Dimitriou,,6,Ftei O Erotas,1,2025-11-24 16:54:58
AR4QYVC1187B99985B,DJ Harry,,3,Other Side of You,2,2025-11-24 16:43:32
AR4R0741187FB39AF2,Bow Wow Wow,"London, England",4,Sex,2,2025-11-24 16:54:58
AR4R84C1187FB3EC16,Shelly Manne,"New York, NY",2,Get Me To The Church On Time,1,2025-11-24 16:43:32
AR4SOKG1187B98D2B0,Geier Sturzflug,,2,Wie ein Eisbär sein,2,2025-11-24 16:43:32
AR4TLW81187B99683D,Martin Sexton,"Syracuse, NY",5,Caught In The Rain,2,2025-11-24 16:54:58
AR4W2E01187FB416AC,Saga,"Toronto, Ontario, Canada",1,Thank You,1,2025-11-24 16:02:50
AR4W5GR1187FB51F7E,Alacranes Musical,,2,Indita Mia (Album Version),1,2025-11-24 16:46:14
AR502DZ1187B98F8E1,Brian Dullaghan,,3,My First Day At School,1,2025-11-24 16:54:58
AR508LN1187B996F4E,Lole y Manuel,,3,Tango de la Flor (Album Version),2,2025-11-24 16:54:58
AR553M51187B98BCE7,Renee Rosnes,"Regina, Saskatchewan, Canada",5,So In Love,3,2025-11-24 16:46:14
AR557N41187FB3E67F,Swallow The Sun,"Jyväskylä, Finland",3,...and Heavens Cried Blood,2,2025-11-24 16:43:32
AR567PN1187FB4B4F2,Moss,,2,There Alone Go I,1,2025-11-24 16:46:14
AR56P361187B9AC4DB,Gary Moore,"Belfast, Northern Ireland",4,I Can't Wait Until Tomorrow (Live),3,2025-11-24 16:54:58
AR57MOK1187FB3C8C7,Stanley Clarke & George Duke,,2,Finding My Way,2,2025-11-24 16:46:14
AR58JT11187B9AF4CC,Carpenters,"New Haven, CT",3,An Old Fashioned Christmas,3,2025-11-24 16:43:32
AR58SJE1187B9A8E4C,J.B.Lenoir,"Monticello, MS",3,The Mojo,3,2025-11-24 16:46:14
AR59C6A1187B9B2143,The Cat's Miaow,Australia,4,You Know It's True,2,2025-11-24 16:54:58
AR5C6M11187B9AC877,The Grip Weeds,New Brunswick NJ,3,Melancholia,2,2025-11-24 16:43:32
AR5DXUU1187B9B0E42,Falco,"Vienna, Austria",2,Monarchy Now,2,2025-11-24 16:43:32
AR5FP401187FB523C9,Bob Dylan,"Duluth, MN",2,New Pony,2,2025-11-24 16:43:32
AR5GMAV1187FB3A8F5,Chris Clark,"Los Angeles, CA",2,Gavel Obliterated,2,2025-11-24 16:43:32
AR5IHI31187B998618,Pascal Obispo,,1,La Machine,1,2025-11-24 16:02:50
AR5J8N51187FB54ED9,Joe Heaney,Washington,3,The Ferocious O' Flahertys,3,2025-11-24 16:54:58
AR5J8XN1187B9B712E,Extreme,,3,Song For Love,1,2025-11-24 16:54:58
AR5KOSW1187FB35FF4,Elena,Dubai UAE,1,Setanta matins,1,2025-11-24 16:02:50
AR5LE4K1187FB4C3BE,John Hiatt,"Indianapolis, IN",1,Memphis In The Meantime,1,2025-11-24 16:02:50
AR5LZJD1187FB4C5E5,Britt Nicole, NC,4,Set The World On Fire,2,2025-11-24 16:43:32
AR5MK521187B98E0B8,Heaven 17,"London, England",4,(We Don't Need This) Fascist Groove Thang,2,2025-11-24 16:43:32
AR5MSL51187FB52E11,ÄI-TIEM,,3,Auf die Fresse_ fertig_ los,2,2025-11-24 16:46:14
AR5NDDL1187B9A4EDB,Big John Greer,,2,Big John's A-Blowin',2,2025-11-24 16:02:50
AR5O6W51187FB46984,SNAP!,Germany,4,"Beauty Queen (12"" Spoon Club Mix)",2,2025-11-24 16:46:14
AR5OH1V1187FB574C3,Vivian,"Shreveport, LA",4,"Born In Louisiana [with Clarence ""Gatemouth"" Brown] [Live]",3,2025-11-24 16:46:14
AR5OH2Z1187B9A46A9,Iggy Pop,"Muskegon, MI",2,Lust for life (recorded during the us tour in 1986),1,2025-11-24 16:46:14
AR5OHUU1187FB55B10,Peret,,2,Ole Con Ole,1,2025-11-24 16:46:14
AR5R7791187FB3A8C3,Alfredo Kraus,,4,Caro! (Colline/Rodolfo/Schaunard/Children/Townspeople/Musetta) (1998 Digital Remaster),2,2025-11-24 16:54:58
AR5U94U1187FB5CDCF,John Hammond,,3,I Can't Be Satisfied,2,2025-11-24 16:43:32
AR5WPYF1187B9B40DA,VHS Or Beta,"Louisville, KY",2,Forever,2,2025-11-24 16:02:50
AR60ZZX1187FB52E29,Capone-N-Noreaga feat. Busta Rhymes and Ron Browz,"New York, NY [Queens]",4,Beef,3,2025-11-24 16:54:58
AR61JEC1187FB54A9F,Ai Ai Ai,,1,Com Una Flama,1,2025-11-24 16:02:50
AR633SY1187B9AC3B9,Weezer,,1,Don't Let Go,1,2025-11-24 16:02:50
AR63RWN1187FB3E89A,Robert Lockwood_ Jr.,"Marvell, AR",1,Big Legged Woman,1,2025-11-24 16:02:50
AR65K7A1187FB4DAA4,Beyoncé,,3,Baby Boy [feat. Beyonce],1,2025-11-24 16:54:58
AR65OLD1187FB5C103,P.o.d,,6,Ya Mama (Palm Springs Demo),2,2025-11-24 16:54:58
AR6742W1187B989AA9,Joe Graves & The Diggers,,3,Witchcraft (1997 Digital Remaster),3,2025-11-24 16:54:58
AR67FTZ1187B9975EC,Maria & Margot Hellwig/Die Garmischer Alpenjäger,NY - New York City,1,La Montanara,1,2025-11-24 16:02:50
AR6892W1187B9AC71B,Placebo,"London, England",4,Hardly Wait,2,2025-11-24 16:54:58
AR6896B1187B98FADA,Paso Doble,,2,König und Königin,1,2025-11-24 16:43:32
AR68V7Z1187B9A2FCA,Polkaholix,GERMANY,1,Krause seine Kreuzpolka,1,2025-11-24 16:02:50
AR695PK1187B996E35,Jeremy Spencer,"West Hartlepool, England",2,Maria De Santiago,1,2025-11-24 16:46:14
AR6AGJV1187FB504BA,Kitaro,"Toyohashi, Japan",4,The Mist,2,2025-11-24 16:54:58
AR6C6VO1187FB4E267,Tora Tora,"Memphis, TN",2,Wasted Love,2,2025-11-24 16:02:50
AR6C8EJ1187FB3F473,Nelson Ned," Ubá, Minas Gerais",5,Brasas Vivas,2,2025-11-24 16:54:58
AR6CLFP1187B9ACB94,Daniel Johnston,"Sacramento, CA",3,Story Of An Artist (Don't Be Scared),1,2025-11-24 16:46:14
AR6EVQA1187B9AA1DF,Cocoa Tea,"Kingston, Jamaica",2,Can't Stop Cocoa Tea,1,2025-11-24 16:46:14
AR6F6I21187FB5A3AA,Aesop Rock,,4,No City - Instrumental,2,2025-11-24 16:54:58
AR6FS351187B9892B7,Midge Ure,"Glasgow, Scotland",2,Four,2,2025-11-24 16:43:32
AR6G4V01187B9AD086,Queens Of The Stone Age,,2,Everybody's Gonna Be Happy,1,2025-11-24 16:02:50
AR6GJDZ1187B991E46,KALIMBA,"Mexico City, Mexico",4,No Volveras A Mi,2,2025-11-24 16:43:32
AR6HAZT1187FB4A3AA,Roy Buchanan,"Ozark, AR",2,C.C. Ryder,1,2025-11-24 16:43:32
AR6HEHH1187B9985F9,Russ Morgan,"Scranton, PA",2,The Moon Was Yellow,1,2025-11-24 16:46:14
AR6I54S1187FB48C6B,Patty Griffin,"Old Town, ME",3,Flaming Red,1,2025-11-24 16:43:32
AR6IJ6U1187B99FC7C,Alberto Cortez,,1,Distancia,1,2025-11-24 16:02:50
AR6IJJ41187B98C872,Bobby Pulido,"Edinburg, TX",4,Alma De Metal,2,2025-11-24 16:54:58
AR6J3X81187FB59A7B,Matisyahu,"Brooklyn, NY",3,Exaltation,1,2025-11-24 16:54:58
AR6KK741187B98C9E9,Roy Brown,"New Orleans, LA",4,Good Rocking Tonight,2,2025-11-24 16:54:58
AR6L0X71187FB49709,Paul Cantelon,,1,The Other Boleyn Girl - Opening Titles,1,2025-11-24 16:02:50
AR6MIU31187B994603,Stefon Harris,,4,And This Too Shall Pass,2,2025-11-24 16:54:58
AR6MUJ91187B99DAAA,Event Horizon,"Chihuahua, Mexico",1,Endless Ocean,1,2025-11-24 16:02:50
AR6PJ8R1187FB5AD70,Shakira,"Barranquilla, Colombia",7,Did It Again (featuring Kid Cudi),2,2025-11-24 16:54:58
